cislo_licence,pocet_zdroju
310103382,4
310100096,4
310203470,6
310101015,6
310102735,29
310100242,45
310304018,1
310203685,2
310404288,3
310101729,10
310101566,12
310101526,12
310101721,9
310101663,50
310100760,2
310100788,4
310100212,2
310303939,3
310101203,4
310101586,7
310203683,13
310100167,46
310203754,3
310504802,3
310604864,4
310604868,3
310604918,5
310605005,6
311634098,9
310504848,19
310605027,4
310604988,3
310605021,3
310605012,1
310604994,3
311327477,4
310605029,5
310605067,8
310605066,3
310605081,1
310605150,2
310806446,5
310605139,2
310605103,12
311118459,2
310605076,18
310605107,81
310705171,2
311734642,4
310705174,1
310605160,3
310705175,0
310705166,5
310908265,20
310705216,
311222874,1
310705284,2
311220729,6
310705238,6
310705263,3
310705385,2
310705327,2
312036496,19
310705453,
310705382,2
310705412,2
311329822,2
310705423,4
310705530,3
310705370,15
310705533,49
311835332,2
311533722,2
310705595,1
310705576,3
310705674,3
311433126,3
310705512,5
310705616,16
310805769,2
310705663,3
311018354,2
310705646,6
310805808,3
310805763,2
311332074,2
310805759,19
310806017,2
310805878,2
310805970,1
310805962,1
311326976,2
310806045,3
310806121,2
310806094,3
310806231,1
310806371,1
310806321,2
310806206,1
311935652,1
310806390,1
311017841,3
310806412,12
310806633,3
311327017,4
310909439,1
311016256,4
310806424,2
310806456,3
310806658,4
310806586,22
311433021,2
310908472,1
311734527,1
311734514,6
310806623,5
310908236,6
310806718,7
310807159,7
310907354,1
310912507,2
310908342,1
311326851,1
310907660,7
310907397,4
310907423,11
310907473,1
310908986,1
310908704,1
311533242,2
310909296,4
311118792,7
310909214,4
311432923,2
310909223,2
311634149,2
310910628,
311326830,2
310909109,6
310910511,1
310911565,1
310909432,4
311018356,1
310912492,3
310912656,2
311012851,2
311326845,3
311012846,6
311835221,2
311327437,2
311012696,18
311013417,2
311118415,2
311224634,3
311015576,1
311219185,4
311015135,20
311014044,13
311935792,5
312136758,1
311533402,1
311015722,3
311015528,2
311015571,6
311015353,9
311016230,6
311533618,19
311015241,15
311734342,1
311432979,1
311016479,2
312137214,2
311017732,3
311017700,6
311016304,12
311223068,2
311533311,1
311326853,2
311327260,3
311018232,4
311018088,3
311018268,6
311330084,1
311218961,3
311018334,1
311330288,3
311018299,2
311118921,2
311329880,1
311634026,5
311118586,1
311018315,4
311018383,3
311634251,3
311018395,3
311332492,4
311018340,6
312036210,4
311118535,3
311330536,1
311329837,1
311118543,1
311118471,3
311332434,2
311118427,10
311835279,24
311118701,2
311118589,1
311330159,3
311118576,3
311118592,1
311331004,2
311118674,24
311326910,1
311633946,3
311118888,1
311118732,1
311224624,4
311226763,4
311118772,8
311533671,3
312136924,1
311835174,1
311326871,2
311224439,1
311223188,1
311432575,1
311018326,224
311118880,2
311734741,8
311118907,2
311219231,5
311432999,4
311219056,12
311218990,12
311225721,3
311223005,2
311219613,3
311329492,3
311330979,2
311220011,2
311220031,3
311219869,1
312136642,1
312036059,5
311225908,1
311221924,5
311221479,2
311221664,1
311221431,25
311226725,2
311222427,2
311327009,5
311432872,1
311533362,1
311226792,1
311330616,1
311222508,8
311633959,1
311734820,1
311226371,1
312036478,1
311533457,3
311226794,1
312136627,2
311224923,1
311222754,9
311432580,1
311326850,4
311432994,1
311432732,1
311835304,1
311331953,1
311332279,3
311226093,1
311432796,2
311330085,3
311533214,1
311329841,3
311326863,1
311224871,1
311226722,1
311330637,8
311533382,1
311432944,1
311432945,1
311634244,1
311226292,3
311432826,5
311226813,7
311226309,88
311226618,4
311327376,1
311734331,2
311734789,1
311734744,1
311326884,3
311326894,1
311226805,45
311328721,2
311332536,1
311432780,2
311432566,2
311329922,4
311329805,23
311432839,1
311329846,59
311330334,1
311331322,1
311533265,2
311432664,2
311331078,1
311331278,2
311533228,1
311533420,1
311433047,2
311433013,1
311433061,1
311533231,2
311432941,1
311331397,2
311331395,1
311331425,5
311533236,1
311331666,1
311331942,1
311433067,1
311332404,1
311432636,2
311332507,4
311432729,2
311331701,1
311332477,2
311433004,1
311332539,3
311734416,1
311332485,4
311734823,3
311432603,1
311332438,1
311433130,3
311433159,3
311935370,4
311433172,6
311533193,5
311633793,2
311633895,1
311533490,1
311533412,3
311533387,1
311533391,3
311433050,6
311533274,125
311533549,2
311533653,2
311533677,4
311533624,4
311533576,4
311533554,5
311533699,10
311533621,7
311533731,2
311633879,1
311633927,1
311533777,5
311634233,1
312036501,4
311533716,7
311533765,6
311633957,2
311633994,3
311634044,3
311834856,5
311634035,2
311634275,1
311634116,4
311835091,1
311634166,2
311634235,1
311734393,3
311634263,4
311634292,7
311734542,3
311734703,1
311935797,23
311634211,37
311734813,3
312137020,3
311734808,1
311734781,7
311734750,4
311834840,6
311834922,2
311734711,9
311935643,2
311835023,2
311835209,2
311834994,2
311835009,3
311835192,7
311835284,1
311835085,6
311935503,5
312036139,3
311935476,2
311835345,2
311935886,4
311935660,5
312035946,6
311935758,7
311935848,1
311935782,2
311935740,2
311935876,2
312036152,1
312036174,4
311935868,7
312036068,9
312036539,2
312036555,1
312036453,1
312036347,1
312036476,4
312036550,4
312136688,3
312136750,12
312136996,6
312137167,2
312136773,1
312136667,2
312136997,5
